"P1_DEPARTAMENTO";"Energia";"Gas_red";"Y";"N_hogar";"Jefe_sex";"Jefe_edad";"menores";"Jefe_educ_sec";"Jefe_educ_ter";"avg_edad";"Casa";"Apartamento";"Habitacion";"Casa_Ind";"ln_PERCAPITA"
"91";1;0;6;2;1;50;0;0;0;49;1;0;0;0;10.8197782844103
"50";1;1;2;3;1;32;1;0;0;17;1;0;0;0;12.6298868923065
"50";1;1;2;2;2;60;0;1;0;43.5;1;0;0;0;14.1448143051069
"18";1;0;4;4;1;44;2;0;0;18;1;0;0;0;12.8681160810388
"95";1;0;6;3;2;39;1;0;0;29.6666666666667;1;0;0;0;12.7162313803085
"73";1;1;2;1;1;89;0;0;0;89;1;0;0;0;12.4157931765122
"47";1;0;6;3;1;47;1;1;0;32.6666666666667;1;0;0;0;12.7688580082269
"91";1;0;4;3;1;48;1;1;0;31;1;0;0;0;11.800607537422
"47";1;1;2;6;1;49;2;0;0;27.3333333333333;1;0;0;0;12.1779017685635
"47";1;0;6;4;2;46;2;0;0;32.5;1;0;0;0;12.0725412529057
"41";1;1;2;4;1;50;2;0;1;27;1;0;0;0;13.5443577874637
"17";1;0;4;4;1;43;1;0;0;44;1;0;0;0;12.4587749990859
"91";1;0;4;4;1;51;2;0;0;30;1;0;0;0;11.2307835728941
"47";1;0;6;4;2;28;2;1;0;19.5;1;0;0;0;12.1415341243926
"91";1;0;4;5;1;32;3;1;0;15.4;1;0;0;0;9.90348755253613
"91";1;0;4;2;1;20;0;1;0;20;1;0;0;0;12.6115377536383
"50";1;1;2;1;1;45;0;0;1;45;1;0;0;0;13.5923670066501
"66";1;0;6;2;1;76;0;0;0;60.5;1;0;0;0;13.2878778158819
"95";1;0;4;3;1;43;1;1;0;33.6666666666667;1;0;0;0;13.0884618257286
"47";1;0;6;5;1;31;3;0;0;20.6;1;0;0;0;11.8325905832751
"17";1;0;4;6;1;37;4;1;0;18.1666666666667;1;0;0;0;12.4569429011069
"18";1;0;4;4;1;24;2;1;0;13.25;1;0;0;0;13.0604879736862
"91";1;0;4;4;1;60;2;1;0;35.25;1;0;0;0;10.8197782844103
"17";1;0;4;2;1;49;0;0;0;52;1;0;0;0;12.6915804613119
"50";1;0;4;1;1;51;0;1;0;51;1;0;0;0;13.5923670066501
"18";1;0;4;3;1;48;1;0;0;36;1;0;0;0;12.9266188002782
"66";1;0;6;2;2;91;0;0;0;88;1;0;0;0;11.5774639861078
"18";1;0;4;6;1;40;3;1;0;22.6666666666667;1;0;0;0;13.520393507025
"47";1;0;6;4;1;62;1;0;0;37.5;1;0;0;0;10.5594951861466
"50";1;0;4;2;2;61;0;0;1;76.5;1;0;0;0;14.18131040968
"13";1;1;2;4;1;51;1;1;0;34;1;0;0;0;12.8087935340004
"47";1;0;4;5;1;32;3;1;0;15.4;1;0;0;0;12.2307652581205
"47";1;0;4;4;1;27;2;1;0;14;0;1;0;0;12.3566455040095
"13";1;1;2;1;1;58;0;1;0;58;1;0;0;0;13.5670491986658
"91";0;0;4;2;1;71;0;0;0;69;1;0;0;0;12.5776362019627
"13";1;1;2;3;1;29;1;1;0;20;1;0;0;0;13.1445596518014
"66";1;0;4;3;2;51;2;1;0;22.3333333333333;1;0;0;0;12.7168982692962
"50";1;1;2;2;2;37;1;1;0;22.5;1;0;0;0;13.519460235842
"73";1;1;2;1;2;54;0;1;0;54;1;0;0;0;13.1931324482925
"18";1;0;6;1;2;48;0;0;0;48;1;0;0;0;12.3422048198548
"18";1;0;4;3;1;22;1;1;0;15.3333333333333;1;0;0;0;12.8992198260901
"47";1;0;6;4;1;29;2;1;0;16.25;1;0;0;0;12.3566455040095
"91";1;0;4;2;1;74;0;0;0;73;1;0;0;0;13.5278284855125
"66";1;0;4;4;1;47;2;0;1;26.25;1;0;0;0;13.786339180664
"13";1;1;4;2;1;69;0;0;0;61.5;1;0;0;0;12.80537607056
"47";1;0;4;4;2;27;2;1;0;16;0;0;1;0;12.9773376053541
"47";1;0;6;7;1;51;2;1;0;19.8571428571429;1;0;0;0;12.4148274593923
"66";1;0;6;3;1;74;0;0;0;59.6666666666667;1;0;0;0;11.7360690162844
"73";1;1;2;3;1;55;0;0;0;45;1;0;0;0;13.7033367610724
"18";1;0;4;1;1;54;0;0;0;54;1;0;0;0;13.9978321147582
"47";1;0;1;5;1;30;3;1;0;16.4;1;0;0;0;12.0112735672251
"47";1;0;1;3;1;44;1;1;0;35;1;0;0;0;12.2601398668004
"17";1;0;4;4;1;62;2;0;0;37.25;1;0;0;0;13.3810691629196
"50";1;1;2;1;1;63;0;0;0;63;1;0;0;0;12.9598444479066
"41";1;1;2;1;1;47;0;0;0;47;0;1;0;0;13.4588356140255
"50";1;1;2;3;2;24;2;1;0;9.66666666666667;1;0;0;0;13.1669117536654
"18";1;0;6;2;2;50;1;0;0;32.5;1;0;0;0;13.5278284855125
"18";1;0;4;2;1;45;1;1;0;27.5;1;0;0;0;13.1663802628211
"18";1;0;4;4;1;52;2;0;0;27.75;1;0;0;0;12.5617053798905
"70";1;0;4;1;2;60;0;1;0;60;1;0;0;0;14.1880578832111
"95";1;0;6;1;2;53;0;0;0;53;1;0;0;0;13.8155105579643
"18";1;0;4;1;2;60;0;0;1;60;1;0;0;0;16.0790082622503
"18";1;0;4;4;1;34;2;1;0;18.25;1;0;0;0;12.9315054895881
"11";1;1;2;3;2;20;1;1;0;15;1;0;0;0;13.4842248480304
"70";1;0;6;1;2;74;0;0;0;74;1;0;0;0;12.6225875898249
"18";1;0;4;3;1;48;1;1;0;34;1;0;0;0;11.800607537422
"47";1;0;6;6;1;40;4;1;0;21.3333333333333;1;0;0;0;11.6502690264811
"18";1;0;4;1;2;51;0;0;1;51;1;0;0;0;14.2750428873427
"17";1;0;4;1;1;32;0;0;0;32;1;0;0;0;12.8167436042659
"18";1;0;4;1;1;29;0;0;1;29;1;0;0;0;14.2209756660724
"47";1;0;6;3;1;27;1;0;0;20;1;0;0;0;12.2060726455302
"18";1;0;7;1;2;51;0;0;0;51;1;0;0;0;12.1850192363323
"47";1;0;6;7;1;47;3;0;0;21.7142857142857;1;0;0;0;11.6952470217642
"17";1;0;4;3;1;62;1;0;0;42;1;0;0;0;13.1971957656768
"66";1;0;4;3;1;69;0;0;0;59.3333333333333;1;0;0;0;11.1875030645356
"95";0;0;4;1;1;80;0;0;0;80;1;0;0;0;12.9157491280413
"91";0;0;6;6;1;39;4;1;0;19;1;0;0;0;11.9565423390428
"66";1;0;4;6;1;66;2;1;0;31.5;1;0;0;0;12.464690585038
"73";1;1;2;1;2;61;0;1;0;61;1;0;0;0;13.0170028617465
"73";1;1;2;1;1;70;0;0;0;70;1;0;0;0;14.370353067147
"47";1;0;4;3;1;28;1;0;1;15.6666666666667;1;0;0;0;12.1190612685405
"47";1;0;1;3;2;37;1;1;0;27;1;0;0;0;12.6829967176205
"95";1;0;4;4;1;28;2;0;0;16;0;0;1;0;12.2666972673466
